variant,degradation,aggregation,roc_auc,eer,genuine_comparisons,impostor_comparisons,identities,photos,detection_failures,probe_detection_failures,seconds_per_image,p99_threshold,p99_precision,p99_recall,p99_false_positives,eer_threshold,eer_precision,eer_recall,eer_false_positives,env_deepshield_version,env_git_commit,env_python,env_platform,env_numpy,env_random_seed,env_device,env_face_detector,env_face_aligner,env_face_embedder,env_deepfake_detector,env_watermark_backend,env_watermark_strength,env_recorded_at
opencv_yunet/opencv_sface,clean,max,1.0,0.0,170,4930,30,170,0,0,0.0093,0.52335,1.0,1.0,0,0.52335,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,clean,topk_mean,1.0,0.0,170,4930,30,170,0,0,0.0093,0.453698,0.994152,1.0,1,0.521398,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,clean,centroid,1.0,0.0,170,4930,30,170,0,0,0.0093,0.470553,0.994152,1.0,1,0.581443,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,jpeg30,max,1.0,0.0,170,4930,30,170,0,0,0.0093,0.487829,0.994152,1.0,1,0.519968,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,jpeg30,topk_mean,1.0,0.0,170,4930,30,170,0,0,0.0093,0.423361,0.994152,1.0,1,0.487783,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,jpeg30,centroid,1.0,0.0,170,4930,30,170,0,0,0.0093,0.439809,0.994152,1.0,1,0.558851,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,crop_20,max,0.999995,0.000406,170,4930,30,170,0,0,0.0093,0.467478,0.994118,0.994118,1,0.405365,0.977011,1.0,4,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,crop_20,topk_mean,0.999995,0.000406,170,4930,30,170,0,0,0.0093,0.395448,0.994118,0.994118,1,0.373856,0.977011,1.0,4,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,crop_20,centroid,0.999999,0.000101,170,4930,30,170,0,0,0.0093,0.407574,0.994152,1.0,1,0.407574,0.994152,1.0,1,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,blur_3,max,0.999882,0.005882,170,4930,30,170,0,0,0.0093,0.411421,0.994118,0.994118,1,0.342382,0.853535,0.994118,29,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,blur_3,topk_mean,0.999913,0.005882,170,4930,30,170,0,0,0.0093,0.365022,0.994118,0.994118,1,0.304279,0.853535,0.994118,29,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,blur_3,centroid,0.999957,0.005882,170,4930,30,170,0,0,0.0093,0.385968,0.994118,0.994118,1,0.314835,0.853535,0.994118,29,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,screenshot,max,1.0,0.0,170,4930,30,170,0,0,0.0093,0.457014,0.994152,1.0,1,0.512352,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,screenshot,topk_mean,1.0,0.0,170,4930,30,170,0,0,0.0093,0.438591,0.994152,1.0,1,0.479755,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface,screenshot,centroid,1.0,0.0,170,4930,30,170,0,0,0.0093,0.456478,0.994152,1.0,1,0.550119,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
opencv_yunet/opencv_sface+tta,clean,max,1.0,0.0,170,4930,30,170,0,0,0.0154,0.565635,1.0,1.0,0,0.565635,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T03:19:38.883068+00:00
